mass	MS_duration	core_mass
1.29987	13700	-nan
1.30167	13700	-nan
1.30347	13700	-nan
1.30527	13700	-nan
1.30707	13700	-nan
1.30888	13700	-nan
1.31069	13700	-nan
1.3125	13700	-nan
1.31432	13700	-nan
1.31613	13700	-nan
1.31795	13700	-nan
1.31978	13700	-nan
1.3216	13700	-nan
1.32343	13700	-nan
1.32526	13700	-nan
1.32709	13700	-nan
1.32892	13700	-nan
1.33076	13700	-nan
1.3326	13700	-nan
1.33444	13700	-nan
1.33629	13700	-nan
1.33814	13700	-nan
1.33999	13700	-nan
1.34369	13700	-nan
1.34184	13700	-nan
1.34555	13700	-nan
1.34741	13700	-nan
1.35114	13700	-nan
1.34927	13700	-nan
1.35301	13700	-nan
1.35675	13700	-nan
1.35488	13700	-nan
1.35863	13700	-nan
1.3605	13700	-nan
1.36616	13700	-nan
1.36427	13700	-nan
1.36239	13700	-nan
1.36804	13700	-nan
1.36994	13700	-nan
1.37183	13700	-nan
1.37373	13700	-nan
1.37562	13700	-nan
1.37753	13700	-nan
1.37943	13700	-nan
1.38134	13700	-nan
1.38325	13700	-nan
1.38516	13700	-nan
1.38708	13700	-nan
1.38899	13700	-nan
1.39284	13700	-nan
1.39091	13700	-nan
1.39476	13700	-nan
1.39669	13700	-nan
1.40055	13700	-nan
1.39862	13700	-nan
1.40249	13700	-nan
1.40443	13700	-nan
1.40637	13700	-nan
1.40832	13700	-nan
1.41026	13700	-nan
1.41221	13700	-nan
1.41416	13700	-nan
1.41612	13700	-nan
1.41808	13700	-nan
1.42004	13700	-nan
1.422	13700	-nan
1.42397	13700	-nan
1.42594	13700	-nan
1.42791	13700	-nan
1.42988	13700	-nan
1.43186	13700	-nan
1.43384	13700	-nan
3.83442	199.391	0.587336
3.83972	198.695	0.588452
3.84503	198.001	0.58957
3.85035	197.31	0.59069
3.85567	196.621	0.591812
3.861	195.935	0.592935
3.86634	195.252	0.594061
3.87168	194.571	0.595189
3.87704	193.893	0.596319
3.8824	193.218	0.597451
3.88776	192.545	0.598585
3.89314	191.874	0.599721
3.89852	191.206	0.600859
3.90391	190.541	0.601999
3.90931	189.878	0.603141
3.91471	189.218	0.604285
3.92012	188.56	0.605431
3.92554	187.905	0.606579
3.93097	187.252	0.607729
3.9364	186.602	0.608881
3.94185	185.954	0.610035
3.9473	185.309	0.611192
3.95275	184.666	0.61235
3.96369	183.387	0.614673
3.95822	184.025	0.613511
3.96917	182.752	0.615838
3.97466	182.118	0.617004
3.98015	181.487	0.618173
3.98566	180.859	0.619344
3.99117	180.233	0.620517
3.99668	179.609	0.621692
4.00221	178.988	0.622869
4.00774	178.369	0.624048
4.01328	177.752	0.62523
4.01883	177.138	0.626413
4.02439	176.526	0.627599
4.02995	175.916	0.628787
4.03552	175.309	0.629977
4.0411	174.704	0.631169
4.04669	174.101	0.632363
4.05228	173.501	0.633559
4.05788	172.903	0.634758
4.06349	172.307	0.635958
4.07474	171.121	0.638366
4.06911	171.713	0.637161
4.08037	170.532	0.639573
4.08601	169.945	0.640782
4.09166	169.36	0.641994
4.09732	168.778	0.643207
4.10298	168.197	0.644423
4.11434	167.043	0.646861
4.10866	167.619	0.645641
4.12002	166.469	0.648083
4.13142	165.328	0.650535
4.12572	165.898	0.649308
4.13713	164.761	0.651764
4.14285	164.195	0.652995
4.14858	163.632	0.654229
4.15432	163.071	0.655464
4.16006	162.512	0.656702
4.16581	161.956	0.657942
4.17157	161.401	0.659185
4.17734	160.848	0.660429
4.18311	160.298	0.661676
4.1889	159.749	0.662925
4.19469	159.203	0.664177
4.20049	158.659	0.66543
4.20629	158.116	0.666686
4.21211	157.576	0.667944
4.21793	157.038	0.669205
4.22376	156.502	0.670467
4.2296	155.968	0.671732
4.23545	155.435	0.673
4.24131	154.905	0.674269
4.24717	154.377	0.675541
4.25304	153.851	0.676816
4.25892	153.327	0.678092
4.26481	152.804	0.679371
4.27071	152.284	0.680652
4.27661	151.766	0.681936
4.28252	151.249	0.683221
4.28844	150.735	0.684509
4.29437	150.222	0.6858
4.30031	149.712	0.687093
4.30625	149.203	0.688388
4.31221	148.696	0.689685
4.31817	148.191	0.690985
4.32414	147.688	0.692288
4.33012	147.187	0.693592
4.3361	146.688	0.694899
4.3421	146.191	0.696208
4.3481	145.695	0.69752
4.35411	145.201	0.698834
4.36013	144.709	0.700151
4.36616	144.219	0.70147
4.37824	143.245	0.704115
